id,preaward17,postaward17,dept17,inst17,preaward18,postaward18,dept18,inst18,chair,rasunit,awardnum,awardtotal,award,proposalnum,proposaltotal,proposal,doctortype,age,female,ethnicgrp,white,asian,yos,nMtg,dMtg,tenuretrack
191,2,2,2,2,2,2,3,1,0,6,6,1.469881,1,6,2.022332,1,1,65.9,0,0,1,0,39,0,0,1
192,1,1,2,1,1,2,2,1,0,7,1,0.100104,1,6,0.948007,1,1,56.9,1,0,1,0,26.1,0,0,0
193,2,1,2,1,3,3,2,1,0,9,5,6.48796,1,4,9.848048,1,1,59.7,1,0,1,0,18.6,0,0,1
194,3,2,2,2,3,3,3,3,0,3,1,0.344935,1,0,0,0,1,58.5,0,0,1,0,21.9,0,0,1
195,2,2,2,2,1,2,3,1,0,6,1,0.39,1,2,0.635939,1,1,64.7,0,0,1,0,25.9,0,0,1
196,1,3,1,1,3,1,2,2,0,8,1,0.034582,1,0,0,0,1,52.2,1,0,1,0,23.9,0,0,1
197,3,3,3,3,2,2,2,2,0,6,2,0.420522,1,3,2.678299,1,2,61.9,0,0,1,0,27.1,0,0,1
198,2,2,2,2,3,3,3,3,0,5,1,0.1,1,3,0.200001,1,1,45.7,1,0,1,0,2.5,3,1,0
199,2,1,2,1,2,2,2,2,0,7,4,0.941364,1,7,0.972202,1,1,45.6,0,0,1,0,8.8,0,0,1
200,3,1,2,1,2,1,2,1,0,8,1,0.099999,1,3,0.231756,1,1,43,1,0,1,0,19,0,0,0
201,2,2,2,2,3,3,3,2,0,5,1,0.008413,1,0,0,0,2,62.6,0,3,0,1,24.8,0,0,0
202,3,2,2,2,2,1,1,1,0,8,2,0.167354,1,1,0.080235,1,1,45.2,1,0,1,0,0.9,0,0,0
203,1,1,1,1,2,2,2,2,0,4,1,0.385114,1,1,0.385114,1,2,75.5,0,0,1,0,30.9,0,0,1
204,2,1,1,1,3,1,3,2,0,8,4,10.444432,1,7,5.624875,1,1,49.6,0,0,1,0,17.4,0,0,0
205,2,1,3,1,3,1,1,2,1,8,4,0.292918,1,8,0.681678,1,1,52.5,0,0,1,0,18.9,0,0,1
206,1,3,2,2,1,2,1,1,0,1,1,0.406771,1,3,0.554032,1,3,44,0,2,0,0,10.9,0,0,1
207,1,1,3,1,3,3,3,2,1,5,3,0.105,1,0,0,0,2,53.4,0,0,1,0,9.5,6,1,0
208,2,2,2,2,2,2,3,2,0,1,1,0.01081,1,1,0.01,1,2,57.2,0,0,1,0,18.9,0,0,0
209,3,1,3,1,2,1,2,1,0,8,4,0.602034,1,5,0.505535,1,1,68.7,1,0,1,0,23.8,0,0,1
210,2,2,2,2,2,2,2,2,0,8,6,0.976541,1,3,0.262525,1,1,69.7,0,2,0,0,24,0,0,1
211,2,1,1,1,3,3,3,3,0,2,2,0.10451,1,0,0,0,1,47.8,1,0,1,0,7.3,1,1,0
212,2,2,2,2,3,2,2,2,0,2,0,0,0,1,0.029687,1,1,51.4,1,0,1,0,13.9,0,0,0
213,2,2,2,2,1,1,2,1,0,7,1,0.166212,1,0,0,0,2,37.4,0,3,0,1,9,0,0,0
214,2,1,2,1,2,2,2,2,0,2,2,0.74198,1,3,1.424112,1,1,64.6,0,0,1,0,21.2,0,0,1
215,1,1,1,1,3,2,3,3,0,1,0,0,0,1,0.049677,1,1,40.9,1,0,1,0,7.4,0,0,0
216,2,2,2,2,1,2,2,1,0,4,0,0,0,2,0.097136,1,0,47.9,1,0,1,0,7.8,0,0,0
217,1,1,2,2,3,2,2,2,0,1,1,0.507666,1,1,0.507666,1,2,72,0,0,1,0,24.9,0,0,1
218,2,1,2,1,1,2,2,1,0,8,2,0.02,1,3,0.722851,1,1,58.6,1,0,1,0,27.8,0,0,1
